Wall time,Step,Value
1717044309.7594736,1462000,-13667.369140625
1717044478.056063,1472000,-13658.2109375
1717044657.9371707,1482000,-13725.4736328125
1717044822.6435962,1492000,-13661.89453125
1717045009.8521261,1502000,-13743.1044921875
1717045207.3527966,1512000,-13810.158203125
1717045390.957115,1522000,-13592.4736328125
1717045567.6622794,1532000,-14050.3154296875
1717045743.6608026,1542000,-13742.5263671875
1717045928.4524746,1552000,-13748.3681640625
1717046098.038733,1562000,-13714.158203125
1717046277.5252218,1572000,-13554.4736328125
1717046440.2686186,1582000,-14088.4208984375
1717046599.7009165,1592000,-13594.7373046875
1717046747.5113008,1602000,-13833.947265625
1717046903.2184107,1612000,-13588.5791015625
1717047051.928353,1622000,-14100.4736328125
1717047201.3760748,1632000,-13926.578125
1717047350.3996294,1642000,-13635.3154296875
1717047500.0843325,1652000,-13672.421875
1717047657.4921556,1662000,-13568.5263671875
1717047807.1852086,1672000,-13770.2626953125
1717047959.0618453,1682000,-14173.6318359375
1717048108.7157474,1692000,-14044.052734375
1717048258.403437,1702000,-13415.2109375
1717048415.5721614,1712000,-13619.4736328125
1717048564.4887161,1722000,-13915.421875
1717048713.528424,1732000,-13386.10546875
1717048863.0156486,1742000,-13624.2626953125
1717049013.7690911,1752000,-13914.8955078125
1717049171.8829298,1762000,-13596.6318359375
1717049320.889707,1772000,-13893.4736328125
1717049470.2544496,1782000,-13758.525390625
1717049619.041854,1792000,-13607.0
1717049767.9635007,1802000,-13902.2099609375
1717049925.5108736,1812000,-13827.2626953125
1717050075.2956324,1822000,-13718.10546875
1717050224.014667,1832000,-13733.4208984375
1717050373.8274634,1842000,-13875.3154296875
1717050523.1582441,1852000,-13875.947265625
1717050681.0853171,1862000,-13628.1572265625
1717050830.6000135,1872000,-13759.5263671875
1717050980.416796,1882000,-13690.052734375
1717051129.8140652,1892000,-13489.263671875
1717051279.415678,1902000,-13999.6318359375
1717051439.2759209,1912000,-13605.10546875
1717051589.663161,1922000,-13879.369140625
1717051739.1349373,1932000,-13818.4208984375
1717051888.1694126,1942000,-13627.630859375
1717052037.4479682,1952000,-13700.2626953125
1717052194.5000842,1962000,-13313.0
1717052343.4700937,1972000,-13583.1572265625
1717052492.3852022,1982000,-13823.89453125
1717052642.506031,1992000,-13786.1572265625
1717052792.0913339,2002000,-13851.630859375
1717052949.57267,2012000,-13702.0
1717053098.1898963,2022000,-14096.10546875
1717053247.4938462,2032000,-13509.369140625
1717053396.3572035,2042000,-13850.4736328125
1717053545.2281697,2052000,-13695.2626953125
1717053702.6996326,2062000,-13897.052734375
1717053851.8256488,2072000,-13722.0
1717054000.6180513,2082000,-13733.7373046875
1717054149.704548,2092000,-13594.3681640625
1717054298.601016,2102000,-13730.2099609375
1717054457.0365531,2112000,-13958.10546875
1717054606.2217455,2122000,-13375.630859375
1717054755.6498063,2132000,-13872.4736328125
1717054904.7506826,2142000,-13667.4208984375
1717055056.9668567,2152000,-13417.4736328125
1717055215.1816342,2162000,-14099.5263671875
1717055364.4443948,2172000,-13742.7890625
1717055513.8039427,2182000,-13816.2109375
1717055663.7630723,2192000,-13809.052734375
1717055812.9613228,2202000,-13694.0
1717055970.1785867,2212000,-13967.263671875
1717056119.073864,2222000,-13601.5263671875
1717056269.3536115,2232000,-13815.736328125
1717056418.5203118,2242000,-13500.68359375
1717056567.2854397,2252000,-13670.4736328125
1717056724.9859948,2262000,-14029.947265625
1717056873.985384,2272000,-13808.8955078125
1717057023.0202708,2282000,-13808.8955078125
1717057172.0791776,2292000,-13859.5791015625
1717057321.1000426,2302000,-13766.4208984375
1717057477.950365,2312000,-13682.0
1717057627.0508368,2322000,-13783.89453125
1717057775.7392247,2332000,-13523.158203125
1717057924.91632,2342000,-13673.2099609375
1717058074.22806,2352000,-13760.263671875
1717058232.0448256,2362000,-13998.89453125
1717058381.56552,2372000,-13693.10546875
1717058530.3112879,2382000,-13668.3154296875
1717058682.1984267,2392000,-13513.10546875
1717058831.6484137,2402000,-13431.158203125
1717058989.2809186,2412000,-13388.6318359375
1717059138.9615984,2422000,-14041.263671875
1717059287.942729,2432000,-13940.6318359375
1717059437.0905604,2442000,-13915.2109375
1717059586.0705664,2452000,-13408.3681640625
1717059744.3194742,2462000,-13748.736328125
1717059894.4968266,2472000,-13845.5263671875
1717060043.735947,2482000,-13797.3154296875
1717060192.9024053,2492000,-13509.9482421875
1717060342.644647,2502000,-13587.7373046875
